0,"1
Matthew Wright",16,11.2,15,7.5,31,18.7,5,4.5,0,0,0,1.5,2,0.3,5,3.4,0,0.7,1,0.4,108,80.8
1,"2
Matthew Jaensch",11,13.5,14,7.5,25,21,3,5.7,0,0,1,0.9,0,0.5,3,2.5,1,0.3,0,0.2,89,84.2
2,"3
Sam Kerridge",9,5.1,15,6,24,11.1,5,2.4,0,0,0,0.2,0,1,4,3.7,0,0.7,0,0.1,88,50.9
3,"4
Mitch Grigg",12,7.4,9,4.2,21,11.7,6,2.8,0,0,0,1,0,0.6,1,1.7,1,0.7,0,0.7,82,49.8
4,"4
Patrick Dangerfield",8,12.5,13,12.4,21,24.9,2,3.4,1,1.3,1,1.5,2,0.9,1,3.5,2,0.8,0,1,68,92.5
5,"6
Rory Sloane",9,12.2,11,11.5,20,23.7,3,4.8,0,0.9,1,1.2,0,0.7,12,6.7,0,0.6,2,0.4,109,104.6
6,"6
Luke Brown",13,6.3,7,6.7,20,13,4,2.5,0,0,1,0.6,0,0.2,4,2.5,0,0,0,0,82,49.8
7,"6
Scott Thompson",7,13.5,13,13.8,20,27.3,1,3.6,0,0.1,0,1,2,1.2,3,4.5,0,0.2,1,0.4,57,96.1
8,"9
Sam Jacobs",14,8.8,5,7.5,19,16.3,8,4.1,26,34.7,0,0.5,0,0.7,0,2.1,1,0.3,0,0.1,108,97.1
9,"10
Brodie Smith",8,13,10,9.5,18,22.5,4,4.9,0,0,0,0.4,0,0.3,0,1.6,1,0.5,0,0.4,62,82.2
10,"11
David Mackay",6,8.8,11,9.2,17,18,2,3.1,0,0,2,1.2,1,0.7,3,4.1,0,0.6,0,0.4,57,73.2
11,"12
Eddie Betts",8,7.6,8,5.6,16,13.2,2,2.4,0,0,0,0.9,0,0.7,4,3.4,2,2.3,1,1,75,68.2
12,"13
Brodie Martin",5,9.1,10,6.4,15,15.5,2,3.8,0,0,0,0.8,2,0.6,1,2.6,0,0.5,0,0.9,39,64.8
13,"14
Daniel Talia",6,7.6,8,4.2,14,11.8,4,4.8,0,0,2,0.5,1,0.5,0,1.1,0,0,0,0,45,48.8
14,"15
Shaun McKernan",7,5,6,5.5,13,10.5,3,1.5,4,6,2,1,1,1,1,1.5,1,0.5,1,0.5,56,44
15,"16
Lewis Johnston",8,7.5,4,3,12,10.5,4,2.5,0,0,0,1,1,0.5,0,2.5,3,2,0,0,59,57.5
16,"16
Brad Crouch",5,11.4,7,13.4,12,24.7,1,2.4,0,0.1,1,0.7,1,0.5,5,5.5,0,0.5,0,0.5,50,92.5
17,"18
James Podsiadly",3,9,8,4.8,11,13.8,3,5.7,0,0.1,0,0.7,1,1.2,3,1.8,0,1.2,1,0.7,44,66
18,"18
Jason Porplyzia",8,5.3,3,3,11,8.3,3,2,0,0,0,0.5,1,0.5,2,1.5,0,0.3,0,0,44,34.3
19,"18
Sam Shaw",5,6.5,6,4.3,11,10.8,1,3,0,0,0,0.5,0,0.5,1,2.3,0,0,0,0,34,45.5
20,"21
Ben Rutten",4,5.1,6,5.7,10,10.9,3,3.7,0,0,0,0.3,1,0.6,3,1.7,0,0.1,0,0,42,43.9
21,"22
Jarryd Lyons",6,7.9,3,5.4,9,13.3,1,2.2,0,0,1,0.6,0,0.3,4,2.5,0,0.7,0,0.4,44,55.4
22,All Players,178,8.8,192,7.1,370,16.0,70,3.4,31,2.0,12,0.8,16,0.6,60,2.9,12,0.6,7,0.4,1442,67.4
