0,"1
Scott Thompson",13,11.6,20,12.3,33,24,6,3.3,1,0.1,3,1.4,1,1.4,7,7.2,0,0.2,0,0.1,126,96.6
1,"2
Brodie Smith",13,13.3,15,7.4,28,20.7,0,4.3,0,0,1,0.6,2,0.7,4,2.3,0,0.3,1,0.5,81,77.4
2,"3
Rory Atkins",11,10.9,16,9.6,27,20.5,6,4.3,0,0.3,0,0.4,1,0.6,1,1.6,0,0.5,0,0.5,84,73.3
3,"4
Rory Sloane",8,11.8,18,13.4,26,25.2,3,3.8,0,1.5,2,1.3,3,1.2,7,7,1,0.6,0,0.4,96,104.9
4,"5
Matt Crouch",8,11.4,17,16.3,25,27.7,3,3.4,0,0,0,1,1,1,4,4.5,0,0.2,0,0.1,80,94.5
5,"6
David Mackay",10,10.4,13,9.4,23,19.8,2,2.6,0,0,0,0.5,1,0.5,10,4.3,0,0.1,0,0.6,99,75.3
6,"6
Paul Seedsman",11,10.1,12,6.9,23,17,3,4.3,0,0,0,0.8,1,0.4,6,4,1,0.6,1,0.3,94,76.6
7,"8
Tom Lynch",11,12,10,7.4,21,19.5,5,6.5,0,0,1,1.1,0,0.5,0,2,2,1.8,1,0.9,82,89.8
8,"8
Richard Douglas",9,10.2,12,7.5,21,17.7,2,3.2,0,0,3,1,2,0.8,7,3.9,0,0.8,0,0.7,82,74.8
9,"8
Rory Laird",12,13.2,9,14.2,21,27.4,4,6.7,0,0,2,1.1,1,0.5,6,2.1,0,0.1,0,0.1,89,96.6
10,"11
Jarryd Lyons",6,12.1,12,9.6,18,21.7,1,3.3,1,0.1,0,0.7,1,0.6,4,4.7,2,0.8,0,0.7,71,88.4
11,"12
Sam Jacobs",6,8,11,6.3,17,14.3,3,3.2,40,32,2,1.1,0,0.7,1,2.3,0,0.4,1,0.2,96,88.8
12,"12
Jake Lever",11,10.3,6,5.4,17,15.8,5,5.2,0,0,0,0.7,0,1,1,1,0,0.1,0,0.1,64,59.5
13,"14
Daniel Talia",7,8.7,8,6.9,15,15.6,3,6,0,0,0,0.8,0,0.5,1,1.9,0,0,0,0,50,64.6
14,"14
Kyle Cheney",7,8,8,5.5,15,13.5,5,5.2,0,0,0,0.6,2,0.6,0,1.5,0,0,0,0,46,55.6
15,"14
Luke Brown",7,10.5,8,6,15,16.6,3,4.1,0,0,1,0.6,0,0.4,4,2.9,1,0.2,0,0.1,69,68.4
16,"17
Mitch McGovern",6,6.2,6,3.8,12,10,3,4.2,0,0,2,0.6,1,0.5,3,2.6,2,1.4,0,0.9,62,57.4
17,"17
Charlie Cameron",8,8.7,4,4.7,12,13.4,1,2.8,0,0,0,0.7,2,1,5,4.4,1,1,0,0.9,55,66
18,"19
Eddie Betts",9,9.6,1,3.7,10,13.3,3,3.3,0,0,0,1.2,1,0.7,1,3.5,3,3.1,0,1.3,57,79.5
19,"19
Taylor Walker",7,10.2,3,4.2,10,14.4,3,6.7,0,0,0,0.9,2,1.1,0,1.5,2,2,2,1.6,44,76.6
20,"21
Kyle Hartigan",4,7.5,5,5.6,9,13,3,5,0,0,1,0.4,1,1.3,1,1.7,0,0,0,0,33,52.3
21,"22
Josh Jenkins",6,8.1,1,4,7,12.1,4,5.1,1,5.6,1,1,0,0.5,4,1.9,2,2.6,0,1.2,62,77.1
22,All Players,190,10.1,215,7.7,405,17.9,71,4.4,43,1.8,19,0.8,23,0.8,77,3.1,17,0.8,6,0.5,1622,77.0
