0,"1
Rory Laird",17,14.7,17,14.8,34,29.4,5,5.7,0,0,0,1.2,1,0.6,3,2.2,0,0.1,0,0,109,99.6
1,"2
Matt Crouch",13,13.8,18,19.2,31,33,4,3,0,0,1,0.7,0,0.8,3,4.8,0,0.3,0,0.3,100,108.4
2,"3
Tom Lynch",19,12.9,8,7.6,27,20.5,11,7.1,0,0,0,0.8,0,0.7,1,2.2,3,1.3,2,1,130,91.7
3,"3
Brad Crouch",9,11.9,18,16.2,27,28.1,3,2.8,0,0,2,1.3,0,0.7,7,6.9,1,0.4,0,0.5,108,105.8
4,"5
Richard Douglas",15,12.7,7,9,22,21.6,4,2.8,0,0,2,1.1,2,1,2,3.8,0,0.6,0,0.4,75,81.8
5,"6
David Mackay",11,10.3,10,6.5,21,16.9,3,3,0,0,0,0.6,1,0.8,3,3.5,2,0.4,0,0.4,83,67.8
6,"6
Taylor Walker",15,10.3,6,4.6,21,14.8,8,6.3,0,0,1,0.9,3,1.5,3,1.9,4,2.3,4,1.5,113,78.7
7,"8
Charlie Cameron",12,9.5,8,4.5,20,13.9,2,2.8,0,0,2,1,0,0.9,2,4.3,0,1.2,0,1,68,69.4
8,"9
Daniel Talia",10,6.1,9,6.4,19,12.5,7,4.2,0,0,1,0.6,1,0.5,1,1.9,0,0,0,0,71,50.2
9,"9
Brodie Smith",12,12.6,7,7.8,19,20.4,4,4.7,0,0,0,0.3,2,0.7,4,2,0,0.5,1,0.4,73,76.9
10,"11
Rory Atkins",9,12.3,9,9.2,18,21.4,1,4.7,0,0,0,0.5,1,0.9,0,2.4,0,0.4,0,0.3,45,79.9
11,"12
Luke Brown",12,9.2,5,5.5,17,14.7,4,3.8,0,0,2,0.7,1,0.5,4,1.9,0,0.1,0,0,73,57.6
12,"13
Eddie Betts",11,8.8,5,4.5,16,13.3,5,3.3,0,0,0,0.8,2,1.2,1,3.3,2,2.3,2,1.4,70,70.8
13,"13
Hugh Greenwood",6,7.6,10,8.3,16,15.9,3,2.5,0,0,0,0.6,1,1,7,6.6,0,0.6,0,0.3,72,74.6
14,"15
Riley Knight",7,6.5,6,8.2,13,14.7,1,4,0,0,2,0.9,0,0.4,6,4,1,0.7,1,0.4,69,67.9
15,"15
Josh Jenkins",8,9,5,4.2,13,13.2,6,5.2,8,5.2,2,1.1,1,1,2,2.5,1,2.1,1,1,74,78.2
16,"17
Mitch McGovern",9,8.1,2,3.2,11,11.3,7,5.1,0,0,0,1,1,0.6,1,2.6,2,1.5,2,1.3,67,66.1
17,"17
Jake Kelly",5,7.6,6,7.3,11,14.8,3,4.3,0,0,0,0.5,1,0.8,4,2.8,0,0,0,0,49,59.4
18,"19
Jake Lever",8,10.4,2,5.6,10,16,6,6.3,0,0.1,1,1.5,0,1,2,1.8,0,0.1,0,0.1,55,67.2
19,"19
Andy Otten",4,7.3,6,6.1,10,13.3,4,4.3,0,1.5,0,0.8,3,1.1,2,2.3,0,1.1,0,0.4,35,61.9
20,"21
Sam Jacobs",8,7.9,1,6.5,9,14.4,3,3.7,42,39.8,1,1,1,1.2,4,2.7,1,0.4,0,0.3,97,98.4
21,"22
Rory Sloane",4,13.1,4,11.1,8,24.2,0,3.1,0,0,0,2.6,2,1.5,5,7.8,0,0.8,0,0.3,34,105.1
22,All Players,224,10.1,169,8.0,393,18.1,94,4.2,50,2.1,17,0.9,24,0.9,67,3.4,17,0.8,13,0.5,1670,78.1
