0,"1
Scott Thompson",293,13.3,250,11.4,543,24.7,95,4.3,3,0.1,25,1.1,44,2,108,4.9,8,0.4,9,0.4,2049,93.1
1,"2
Richard Douglas",326,14.8,175,8,501,22.8,116,5.3,1,0,22,1,21,1,86,3.9,20,0.9,17,0.8,2117,96.2
2,"3
Rory Sloane",257,12.2,237,11.3,494,23.5,113,5.4,16,0.8,27,1.3,19,0.9,83,4,12,0.6,12,0.6,1986,94.6
3,"4
Patrick Dangerfield",302,15.1,164,8.2,466,23.3,84,4.2,48,2.4,36,1.8,20,1,64,3.2,31,1.5,18,0.9,1970,98.5
4,"5
Bernie Vince",284,13.5,148,7,432,20.6,87,4.1,5,0.2,17,0.8,17,0.8,68,3.2,13,0.6,11,0.5,1741,82.9
5,"6
Brodie Smith",223,12.4,121,6.7,344,19.1,69,3.8,0,0,10,0.6,5,0.3,25,1.4,3,0.2,3,0.2,1234,68.6
6,"7
Brad Crouch",158,11.3,185,13.2,343,24.5,61,4.4,0,0,9,0.6,8,0.6,62,4.4,4,0.3,5,0.4,1289,92.1
7,"8
Rory Laird",180,10,153,8.5,333,18.5,74,4.1,0,0,18,1,5,0.3,51,2.8,1,0.1,2,0.1,1283,71.3
8,"9
Nathan van Berlo",209,11,114,6,323,17,69,3.6,2,0.1,19,1,29,1.5,62,3.3,8,0.4,9,0.5,1301,68.5
9,"10
David Mackay",172,9.1,143,7.5,315,16.6,67,3.5,1,0.1,16,0.8,16,0.8,66,3.5,6,0.3,7,0.4,1279,67.3
10,"11
Andrew Otten",166,7.5,147,6.7,313,14.2,102,4.6,14,0.6,20,0.9,10,0.5,50,2.3,15,0.7,4,0.2,1396,63.5
11,"12
Luke Brown",176,8.4,118,5.6,294,14,88,4.2,0,0,11,0.5,8,0.4,37,1.8,1,0,0,0,1169,55.7
12,"12
Thomas Lynch",199,11.7,95,5.6,294,17.3,125,7.4,0,0,22,1.3,15,0.9,31,1.8,33,1.9,20,1.2,1481,87.1
13,"14
Matthew Wright",146,8.6,132,7.8,278,16.4,72,4.2,0,0,21,1.2,9,0.5,44,2.6,11,0.6,3,0.2,1157,68.1
